"quest","problem","fix"
"https://en.uesp.net/wiki/Morrowind:Egg_Poachers","they dead but cant proceed",""
"https://en.uesp.net/wiki/Morrowind:Larrius_Varro_Tells_a_Little_Story","they dead but cant proceed",""
"https://en.uesp.net/wiki/Morrowind:Steal_Chimarvamidium","needs respawn",""
"https://en.uesp.net/wiki/Morrowind:Arch-Mage#duel-with-trebonius","trebonius doesnt show up for duel -  upon receiving the tile, I didn't get the MG_Guildmaster 100 https://github.com/TES3MP/openmw-tes3mp/issues/509",""
"https://en.uesp.net/wiki/Morrowind:Catch_a_Spy","cant finish while - the arch mages says i killed him",""
"https://en.uesp.net/wiki/Morrowind:Nchuleftingth_Expedition","have the report but edwinna doesnt take it",""
"https://en.uesp.net/wiki/Morrowind:Escort_Itermerel","escorting doesnt work",""
"https://en.uesp.net/wiki/Morrowind:Gra-Muzgob_Informant#Andrano_Ancestral_Tomb","Skull of Llevule Andrano needs respawn",""
"https://en.uesp.net/wiki/Morrowind:Corprus_Cure","summons killed dagoth gares, killed a stalker, didnt get corprus, didnt get it cured","https://github.com/Learwolf/tes3mp-Scripts/blob/master/tes3mp-server/server/scripts/custom/lear/prematureCorpusFix.lua"
"https://en.uesp.net/wiki/Morrowind:Mehra_Milo_and_the_Lost_Prophecies","Getting final orders from Caius makes him disappear for all players - Mehra Milo isn't in her prison cell in the ministry of truth. I found her in Holamayan, but she doesn't tell anything for updating my journal",""
"https://en.uesp.net/wiki/Morrowind:Quest_Items#Unique_Dwemer_Artifact","he keeps telling me to come back in one day",""
"https://en.uesp.net/wiki/Morrowind:The_Path_of_the_Incarnate","Nibani Maesa of Urshilaku tells you to come back to her in a day",""
"https://en.uesp.net/wiki/Morrowind:The_Citadels_of_the_Sixth_House","When you kill Dagoth Ur, the door opens but not all the way, prohibiting you from entering the heart chamber",""
"https://en.uesp.net/wiki/Morrowind:Bolvyn_Venim#Duel_with_Bolvyn_Venim","does not appear in the arena for Redoran Hortator.",""
"https://en.uesp.net/wiki/Morrowind:Hlaalu_Hortator","Dram Bero won't give me support for Hlaalu Hortator.Same deal with Velanda Omani",""
"https://en.uesp.net/wiki/Morrowind:Hortator_and_Nerevarine","got Hortator and Nerevarine with all 7 factions but Danso Indules insists I haven't done it yet",""
"https://en.uesp.net/wiki/Morrowind:Zainab_Nerevarine","gave me a journal update, where you tell the Ashkhan that you did it, but it wont let me progress with their wise woman who actually gives you her counsel which lets you purchase the slave. She things I have not spoken to the Ashkhan yet",""
"https://en.uesp.net/wiki/Morrowind:Hlaalu_Hortator","some Hlaalu councilors are mad because I killed (taunted) an councilor to deal with him",""
"https://en.uesp.net/wiki/Morrowind:Vivec_Informants","census and excise agent is missing",""
"https://en.uesp.net/wiki/Morrowind:Escort_Tenyeminwe","is stuck under the stairs to the inn in Sadrith Mora, if we could move her 50 feet to the docks we can fix the quest for mages guild and people would be able to do the side rout to becoming arch mage",""
"https://en.uesp.net/wiki/Tribunal:Helseth%27s_Champion","karrod keeps saying come back tomorrow",""
"https://en.uesp.net/wiki/Tribunal:The_Mad_God","kill Almalexia (she doesn't spawn)",""
"https://en.uesp.net/wiki/Tribunal:A_Show_of_Power","https://github.com/TES3MP/openmw-tes3mp/issues/268",""
"https://en.uesp.net/wiki/Tribunal:An_Attack_on_Mournhold","https://github.com/TES3MP/openmw-tes3mp/issues/268",""
"https://en.uesp.net/wiki/Tribunal:Bamz-Amschend","https://github.com/TES3MP/openmw-tes3mp/issues/268",""
"https://en.uesp.net/wiki/Morrowind:Malacath%27s_Quest","you cant turn in the quest even after slaying the heretic at hlaoad  you cant turn it in after youve killed the trio just outside of hla oad - but when I try to interact with the shrine (press E on it), it doesn't work.",""
"https://en.uesp.net/wiki/Morrowind:Shrine_of_Boethiah","in stead of it just being stuck inside a rock ",""
"https://en.uesp.net/wiki/Morrowind:Azura%27s_Quest","Is it possible in some way to spawn the quest's Golden Saint that is bothering the Azura's servant?","https://github.com/Learwolf/tes3mp-Scripts/blob/master/tes3mp-server/server/scripts/custom/lear/questFixes.lua"
"https://en.uesp.net/wiki/Bloodmoon:The_Frostmoth_Smugglers","four of the five smugglers do not spawn",""
"https://en.uesp.net/wiki/Morrowind:Loot_the_Mages_Guild","but the cell reseted before i got around to steal the tanto , now i'm Stuck :/",""
"https://en.uesp.net/wiki/Morrowind:Molag_Bal%27s_Quest","menta na seems to not be spawning",""
"https://en.uesp.net/wiki/Morrowind:The_Bitter_Cup","she attacks me and speaks like if I wouldn't have persuaded her.",""
"https://en.uesp.net/wiki/Morrowind:Death_of_a_Taxman","unable to loot Foryn Gilnith corpse",""
"https://en.uesp.net/wiki/Morrowind:Stronghold","cant be built. cant be shared",""
"https://en.uesp.net/wiki/Morrowind:Stronghold_(Telvanni)","I've tried the No Time to Wait fix multiple times, been back and forth to Uvirith's Grave, and nothing is helping this quest to progress",""
"https://en.uesp.net/wiki/Morrowind:Kurapli_Seeks_Justice","After becoming Urshilaku, the topics for starting the quest are never added",""
"https://en.uesp.net/wiki/Morrowind:The_Dwemer%27s_Bone","if you place the bone into the container you have to wait a certain amount of time, before a ghost appears and scares the trader, the ghost is always there as it is, and therefore breaks the quest trigger",""
"https://en.uesp.net/wiki/Morrowind:Honorable_Writ_of_Execution","https://github.com/TES3MP/openmw-tes3mp/issues/514",""
